T1,T2,T3,T4,T5,Cosette_1,Cosette-Valjean_1,Valjean_1,Javert_1,Javert-Valjean_1,Myriel_1,Myriel-Valjean_1,Cosette_2,Cosette-Valjean_2,Valjean_2,Javert_2,Javert-Valjean_2,Marius_3,Valjean_3,Marius-Valjean_3,Javert_3,Cosette_4,Cosette-Marius_4,Cosette-Valjean_4,Marius_4,Valjean_4,Marius-Valjean_4,Javert_4,Cosette_5,Cosette-Marius_5,Cosette-Valjean_5,Marius_5,Valjean_5,Marius-Valjean_5,Javert_5,Javert-Valjean_5
arras (0.16),cuirassier (0.26),jondrette (0.16),argot (0.14),égout (0.18),religieuse (0.05),religieuse (0.05),accusé (0.16),accusé (0.15),accusé (0.16),conventionnel (0.18),chandelier (0.02),mestienne (0.16),mestienne (0.18),mestienne (0.24),cul (0.06),cul (0.06),jondrette (0.15),tableau (0.11),tableau (0.11),bonjour (0.02),babylone (0.07),amant (0.05),babylone (0.07),plumet (0.07),babylone (0.07),luxembourg (0.03),poteau (0.03),noce (0.13),noce (0.13),noce (0.13),noce (0.1),noce (0.11),noce (0.11),baron (0.06),baron (0.06)
évêque (0.15),wellington (0.25),réchaud (0.13),hucheloup (0.12),cloaque (0.15),gargote (0.04),médecin (0.04),gervai (0.13),arras (0.13),avocat (0.09),évêque (0.1),gendarme (0.02),poupée (0.15),corbillard (0.13),fossoyeur (0.22),mendiant (0.04),mendiant (0.04),réchaud (0.14),jondrette (0.09),ursule (0.08),bandit (0.02),plumet (0.06),volupté (0.05),plumet (0.05),lancier (0.05),plumet (0.05),absorber (0.03),mouchard (0.03),marié (0.09),marié (0.09),marié (0.1),mariage (0.07),calvaire (0.07),marié (0.08),assassin (0.06),assassin (0.06)
conventionnel (0.15),infanterie (0.25),vernon (0.12),émeute (0.12),sable (0.15),médecin (0.04),maire (0.04),maire (0.12),avocat (0.09),président (0.09),cathédrale (0.06),panier (0.02),seau (0.12),fossoyeur (0.12),corbillard (0.18),picpus (0.03),picpus (0.03),vernon (0.13),ursule (0.08),jondrette (0.07),agent (0.01),ravissant (0.06),amour (0.04),luxembourg (0.05),volupté (0.05),luxembourg (0.05),miroir (0.03),municipal (0.03),mariage (0.09),mariage (0.09),mariage (0.09),marié (0.07),marié (0.07),mariage (0.08),preuve (0.04),preuve (0.04)
oratoire (0.14),brigade (0.24),théodule (0.12),lafayette (0.11),berge (0.14),maladie (0.04),pardon (0.03),avocat (0.1),président (0.09),maire (0.07),hôpital (0.06),deuil (0.02),corbillard (0.12),cimetière (0.11),cimetière (0.16),réverbère (0.03),réverbère (0.03),théodule (0.13),réchaud (0.06),prisonnier (0.06),bouge (0.01),luxembourg (0.06),luxembourg (0.04),miroir (0.04),amant (0.05),miroir (0.04),plumet (0.02),alouette (0.02),mardi (0.07),mardi (0.07),mardi (0.07),calvaire (0.07),mariage (0.07),issue (0.06),écriture (0.04),écriture (0.04)
maire (0.14),hougomont (0.23),tableau (0.11),philippe (0.11),galerie (0.12),maire (0.03),soeur (0.03),président (0.1),maire (0.08),nier (0.07),curé (0.06),couvert (0.02),fossoyeur (0.1),bière (0.09),bière (0.15),préfecture (0.03),préfecture (0.03),tableau (0.12),prisonnier (0.05),réchaud (0.05),croisé (0.01),amour (0.05),plumet (0.04),promenade (0.04),luxembourg (0.05),promenade (0.04),écriture (0.02),ursule (0.02),marier (0.07),marier (0.07),baron (0.06),filles (0.06),filles (0.07),mardi (0.06),forçat (0.03),berge (0.04)
Cosette-Valjean_1,Cosette-Valjean_2,,Cosette-Valjean_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
religieuse (0.05),mestienne (0.18),,babylone (0.07),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
médecin (0.04),corbillard (0.13),,plumet (0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maire (0.04),fossoyeur (0.12),,luxembourg (0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pardon (0.03),cimetière (0.11),,miroir (0.04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soeur (0.03),bière (0.09),,promenade (0.04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
