aimer,rue,justice,guerre
Dahlia-Fameuil_1 (1.12),Marius-Prouvaire_4 (1.5),Grantaire-Javert_5 (1.4),Grantaire-Pontmercy_4 (2.78)
Dahlia-Listolier_1 (1.12),Grantaire-Prouvaire_4 (1.24),Azelma-Babet_4 (1.09),Marius-Pontmercy_4 (2.3)
Fameuil-Zéphine_1 (1.12),Gavroche-Grantaire_5 (0.9),Azelma-Brujon_4 (1.09),Pontmercy_4 (2.3)
Listolier-Zéphine_1 (1.12),Combeferre-Gavroche_4 (0.89),Azelma-Claquesous_4 (1.09),Combeferre-Fauchelevent_5 (1.35)
Gillenormand-Toussaint_5 (1.11),Gavroche-Lesgle_5 (0.81),Azelma-Eponine_4 (1.09),Fauchelevent-Gavroche_5 (1.35)
Bahorel-Javert_4 (-0.54),Brevet-Gervais_1 (-0.41),Grantaire-Innocente_2 (-0.57),Javert-Simplice_1 (-0.6)
Gavroche-Lesgle_5 (-0.5),Chenildieu-Gervais_1 (-0.41),Innocente_2 (-0.57),Myriel-Valjean_1 (-0.56)
Gavroche-Grantaire_5 (-0.49),Cochepaille-Gervais_1 (-0.41),Bougon-Courfeyrac_3 (-0.49),Baptistine-Myriel_1 (-0.56)
Courfeyrac-Gavroche_5 (-0.47),Brevet-Cochepaille_1 (-0.38),Bougon-Valjean_3 (-0.49),Grantaire-Innocente_2 (-0.55)
Brujon-Gavroche_4 (-0.45),Champmathieu-Chenildieu_1 (-0.38),Dahlia-Fameuil_1 (-0.46),Innocente_2 (-0.55)
