,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean
0,poupée (1.99),noce (1.32),fauteuil (0.88),baron (1.24),maire (0.52)
1,sabot (0.95),baron (1.18),baron (0.82),assassin (0.79),assassin (0.52)
2,voyageur (0.81),mariage (1.05),glace (0.8),théodule (0.78),forçat (0.51)
3,noce (0.69),fauteuil (0.96),plumet (0.67),ursule (0.72),preuve (0.47)
4,crainte (0.64),glace (0.96),noce (0.64),écriture (0.65),gervai (0.47)
5,infanterie (-0.59),cuirassier (-0.59),cuirassier (-0.58),division (-0.48),infanterie (-0.54)
6,cuirassier (-0.59),escadron (-0.58),infanterie (-0.58),wellington (-0.47),cuirassier (-0.53)
7,wellington (-0.57),brigade (-0.58),wellington (-0.56),cuirassier (-0.47),wellington (-0.52)
8,blücher (-0.55),batterie (-0.56),brigade (-0.53),infanterie (-0.47),blücher (-0.49)
9,brigade (-0.54),division (-0.56),batterie (-0.53),plateau (-0.46),brigade (-0.48)
