Cosette_1,Cosette_2,Cosette_4,Cosette_5
religieuse (2.04),mestienne (2.57),plumet (1.46),noce (2.53)
maire (1.63),poupée (2.32),babylone (1.44),marié (1.81)
médecin (1.62),corbillard (1.88),luxembourg (1.08),mariage (1.73)
gargote (1.59),fossoyeur (1.82),ravissant (1.05),baron (1.37)
maladie (1.55),seau (1.81),lancier (0.94),marier (1.33)
cuirassier (-0.69),infanterie (-0.59),infanterie (-0.62),brigade (-0.54)
infanterie (-0.69),wellington (-0.57),cuirassier (-0.55),hougomont (-0.53)
division (-0.63),cuirassier (-0.55),blücher (-0.53),cuirassier (-0.53)
batterie (-0.62),blücher (-0.53),historien (-0.52),wellington (-0.52)
cavalerie (-0.61),insurrection (-0.48),wellington (-0.52),division (-0.52)
