Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean
jean (0.34),aimer (0.38),jean (0.6),embrasser (0.36),jean (0.56)
dormir (0.28),rêver (0.34),jacques (0.3),essayer (0.36),habiller (0.27)
regarder (0.26),vouloir (0.32),philippe (0.26),avouer (0.36),poser (0.26)
habiller (0.26),douter (0.32),habiller (0.26),vouloir (0.35),jacques (0.26)
voir (0.25),avouer (0.32),pantalon (0.25),voir (0.35),pantalon (0.25)
armée (-0.42),muraille (-0.39),armée (-0.37),faubourg (-0.38),nation (-0.35)
cavalerie (-0.37),barricade (-0.36),nation (-0.33),village (-0.36),armée (-0.35)
insurrection (-0.36),colonne (-0.36),insurrection (-0.32),temple (-0.35),insurrection (-0.33)
nation (-0.35),berge (-0.35),cavalerie (-0.29),ville (-0.34),empereur (-0.33)
monarchie (-0.34),colline (-0.34),race (-0.29),bâtiment (-0.33),peuple (-0.33)
